t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
3.400000000000000000e+01,5.000000000000000000e+01,7.909279419388285248e+01,-2.845825470737359808e+01,-6.345394865092526260e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.796000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,7.902507776049768040e+01,-2.840359866353003326e+01,-6.214790969676476928e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,7.895736132711250832e+01,-2.834744035143427965e+01,-6.099209756782284497e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,7.843820200449283675e+01,-2.743899390341247013e+01,-9.992081010803670615e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.825000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,7.823505270433730630e+01,-2.717099618194472299e+01,-1.064056522392581527e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.833999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,7.830276913772247838e+01,-2.742103283440717476e+01,-8.817363033153041707e-01,0.000000000000000000e+00,6.300000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,7.742245550371522711e+01,-2.586308494828612226e+01,-1.559370555429103966e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.869999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,7.758046051494731898e+01,-2.634028671468930938e+01,-1.240173800258008052e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,7.683557974771038346e+01,-2.507885561753325021e+01,-1.756724130177131915e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,7.728702263694486874e+01,-2.613188106543370637e+01,-1.155141571511162368e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.876000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000711e+01,7.670014688094005351e+01,-2.515850468906019799e+01,-1.541642191879855073e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.901999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,7.699358475894246112e+01,-2.588895485431123689e+01,-1.104629904631223791e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.889000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,7.591012182477967940e+01,-2.397371385296857937e+01,-1.936407971811101136e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.937000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,7.627127613616727331e+01,-2.487721565957894754e+01,-1.394060476588325770e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.921000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,5.000000000000000000e+01,7.591012182477967940e+01,-2.435680020724236883e+01,-1.553321617537309240e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.937000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,4.999999999999999289e+01,7.545867893554519412e+01,-2.368451199724632872e+01,-1.774166938298866292e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.957000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.000000000000000000e+01,7.473637031277000631e+01,-2.252705126917777889e+01,-2.209319043592227416e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.989000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,5.000000000000000000e+01,7.444293243476759869e+01,-2.222805454267944469e+01,-2.214877892088153999e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.001999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,5.000000000000000000e+01,7.451064886815277077e+01,-2.261046415401166598e+01,-1.900184714141105236e+00,0.000000000000000000e+00,6.300000000000000000e+01,2.998999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,5.000000000000000000e+01,7.444293243476759869e+01,-2.270138865643944115e+01,-1.741543778328156655e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.001999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,5.000000000000000000e+01,7.401406168999481849e+01,-2.209329858974919247e+01,-1.920763100245625798e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.021000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,5.000000000000000000e+01,7.378834024537756875e+01,-2.188875458322043954e+01,-1.899585662157128541e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.030999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,4.999999999999999289e+01,7.372062381199239667e+01,-2.197961017983388032e+01,-1.741013632158517455e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.033999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,5.000000000000000000e+01,7.290802661137031748e+01,-2.064814426733553177e+01,-2.259882344034785717e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.069999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,5.000000000000000000e+01,7.335946950060481697e+01,-2.175904537109526160e+01,-1.600424129509556259e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.050000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,4.999999999999999289e+01,7.241143943321237941e+01,-2.015612058422041386e+01,-2.255318848991966441e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.092000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,5.000000000000000711e+01,7.254687229998272358e+01,-2.067082570702050148e+01,-1.876046592962220760e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.085999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,4.999999999999999289e+01,7.182456367720753576e+01,-1.952508366239974791e+01,-2.299480014807788297e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.117999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,5.000000000000000000e+01,7.175684724382236368e+01,-1.966193701339072675e+01,-2.094910230431638265e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,5.000000000000000000e+01,7.153112579920512815e+01,-1.947742423977827286e+01,-2.053701559426856171e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.130999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,5.000000000000000000e+01,7.182456367720753576e+01,-2.026677391400968276e+01,-1.557789763197852562e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.117999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,5.000000000000000000e+01,7.103453862104717587e+01,-1.895678065212697305e+01,-2.077757968920203702e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.153000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,5.000000000000000000e+01,7.074110074304476825e+01,-1.864265114378688537e+01,-2.098449599257883325e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.166000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,5.000000000000000000e+01,7.058309573181269059e+01,-1.858618928510501433e+01,-1.996906446707677141e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.173000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,5.000000000000000000e+01,7.008650855365475252e+01,-1.787982844975606866e+01,-2.206680103898683853e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.194999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,5.000000000000000000e+01,6.956734923103508095e+01,-1.715504884697261190e+01,-2.412300384062469050e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.217999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,5.000000000000000000e+01,6.963506566442026724e+01,-1.756016693426666819e+01,-2.074898730153597715e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.214999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,5.000000000000000000e+01,6.927391135303265912e+01,-1.711806474279696744e+01,-2.155846610235689909e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.231000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,5.000000000000000000e+01,6.943191636426473679e+01,-1.766387602788729083e+01,-1.768040336377444621e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.224000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,5.000000000000000000e+01,6.870960774148954897e+01,-1.650571058886575670e+01,-2.203897152623792710e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.256000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,5.000000000000000000e+01,6.848388629687231344e+01,-1.633373401048620011e+01,-2.150152286386113776e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.265999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,5.000000000000000000e+01,6.805501555209953324e+01,-1.577264404186095348e+01,-2.282371510238578871e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.285000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,5.000000000000000000e+01,6.782929410748228349e+01,-1.560969395811069838e+01,-2.219600149371585562e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.295000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,5.000000000000000000e+01,6.767128909625022004e+01,-1.556716741311830887e+01,-2.104121683131911169e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.302000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,5.000000000000000000e+01,6.740042336270953172e+01,-1.529861831812530326e+01,-2.101805044584227566e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.900000000000000000e+01,5.000000000000000000e+01,6.753585622947987588e+01,-1.579566555148058526e+01,-1.740190677999290614e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.307999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+01,5.000000000000000000e+01,6.740042336270953172e+01,-1.574054297746484998e+01,-1.659880385244681511e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,5.000000000000000000e+01,6.652010972870226624e+01,-1.427210093235822619e+01,-2.248008796344040050e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.353000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,5.000000000000000000e+01,6.681354760670468806e+01,-1.508380075106719964e+01,-1.729746855637488867e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.339999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,5.000000000000000000e+01,6.579780110592707842e+01,-1.336810748065713739e+01,-2.429693625269940149e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.385000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.400000000000000000e+01,5.000000000000000000e+01,6.570751252808018705e+01,-1.347739068844789578e+01,-2.230121839632291270e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.389000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.500000000000000000e+01,5.000000000000000000e+01,6.586551753931225051e+01,-1.403174546442642168e+01,-1.833772074885829273e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.382000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.600000000000000000e+01,5.000000000000000000e+01,6.534635821669259315e+01,-1.326407220282973043e+01,-2.082286013862863605e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.404999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.700000000000000000e+01,5.000000000000000711e+01,6.498520390530499924e+01,-1.282281973194080038e+01,-2.162384173364197970e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.421000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.800000000000000000e+01,5.000000000000000000e+01,6.505292033869017132e+01,-1.319919126555518574e+01,-1.853729073134984695e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.417999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.900000000000000000e+01,5.000000000000000000e+01,6.419517884914463934e+01,-1.179559455371795629e+01,-2.399584295426682612e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.456000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+01,5.000000000000000000e+01,6.396945740452740381e+01,-1.164612684316768210e+01,-2.323330561359722601e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.465999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.100000000000000000e+01,5.000000000000000000e+01,6.439832814930016980e+01,-1.272177812999811408e+01,-1.676550019302055050e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.446999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.200000000000000000e+01,5.000000000000000000e+01,6.403717383791256168e+01,-1.223385597123728985e+01,-1.803317866675270942e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.463000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.300000000000000000e+01,5.000000000000000000e+01,6.347287022636945153e+01,-1.137758385489165036e+01,-2.095286371477800280e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.488000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.400000000000000000e+01,4.999999999999999289e+01,6.331486521513737387e+01,-1.132075814667426172e+01,-1.994107068463112586e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.495000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.500000000000000000e+01,5.000000000000000711e+01,6.331486521513737387e+01,-1.155012984579852642e+01,-1.764735369338847004e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.495000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.600000000000000000e+01,5.000000000000000000e+01,6.272798945913254443e+01,-1.064687185343488984e+01,-2.081117605697655026e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.521000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.700000000000000000e+01,5.000000000000000000e+01,6.272798945913254443e+01,-1.088625191925261682e+01,-1.841737539879928054e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.521000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.800000000000000000e+01,5.000000000000000000e+01,6.216368584758942717e+01,-1.003439901683089630e+01,-2.129286830758531313e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.546000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.900000000000000000e+01,5.000000000000000000e+01,6.236683514774495762e+01,-1.066225113607207398e+01,-1.704584011672882982e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.536999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+02,5.000000000000000711e+01,6.243455158113011549e+01,-1.098596431316827804e+01,-1.448587267961837233e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.534000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.010000000000000000e+02,5.000000000000000000e+01,6.164452652496976981e+01,-9.663410059813758224e+00,-1.981116465156011142e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.568999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.020000000000000000e+02,5.000000000000000000e+01,6.121565578019698961e+01,-9.082876785389343510e+00,-2.132778994807645656e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.588000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.030000000000000000e+02,5.000000000000000000e+01,6.128337221358216880e+01,-9.455842990264979875e+00,-1.827529223317188256e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.585000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.040000000000000000e+02,5.000000000000000711e+01,6.076421289096251144e+01,-8.687451646126820748e+00,-2.076761244835689801e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.607999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.050000000000000000e+02,5.000000000000000000e+01,6.069649645757733225e+01,-8.798686822696126342e+00,-1.897809634881206797e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.610999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.060000000000000000e+02,5.000000000000000000e+01,5.997418783480215154e+01,-7.655448066881689329e+00,-2.318739767920462658e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.642999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.070000000000000000e+02,5.000000000000000000e+01,6.026762571280457337e+01,-8.475283699052122088e+00,-1.792342013752451724e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.629999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.080000000000000000e+02,5.000000000000000000e+01,5.938731207879731500e+01,-7.022078021781566370e+00,-2.365234057015748625e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.090000000000000000e+02,5.000000000000000000e+01,6.004190426818732362e+01,-8.528028581262619312e+00,-1.513875686924704311e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.639999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+02,5.000000000000000000e+01,5.945502851218249418e+01,-7.595915512605885489e+00,-1.859112999576608471e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.665999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.110000000000000000e+02,5.000000000000000000e+01,5.925187921202696373e+01,-7.426828150954164265e+00,-1.825051061072799463e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.675000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.120000000000000000e+02,5.000000000000000000e+01,5.880043632279246424e+01,-6.785795556642693072e+00,-2.014640766149771167e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.695000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.130000000000000000e+02,5.000000000000000000e+01,5.902615776740971398e+01,-7.443008472404597953e+00,-1.583149295005116031e+00,0.000000000000000000e+00,6.300000000000000000e+01,3.685000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
